Time To Mat,Call Price,Spot Price,Realized Volatility,Implied Volatility
1.09921,281,1156.55,0.396508,0.411436
1.09921,280,1154.4,0.396318,0.412922
1.09915,282,1145.4,0.399044,0.405313
1.0991,274.5,1148.9,0.399404,0.410456
1.0991,277.5,1148.82,0.399327,0.415686
1.09909,282.5,1149.1,0.399338,0.415963
1.09909,273.5,1150,0.399408,0.415087
1.09909,272.5,1150.12,0.399394,0.406161
1.09908,264.995,1150,0.399275,0.411737
1.09901,265,1147.97,0.399122,0.408289
1.09901,265,1148.97,0.399206,0.409556
1.099,264.995,1148.5,0.399204,0.408989
1.099,264.495,1145.5,0.399403,0.405434
1.099,259.495,1141.4,0.399758,0.411004
1.09899,259.495,1142.03,0.399701,0.412687
1.09899,259.495,1148.67,0.401358,0.411406
1.09899,259.495,1149.45,0.400639,0.415936
1.09898,259.495,1147.75,0.399988,0.411826
1.09898,259.495,1148.7,0.400057,0.412016
1.09897,259.495,1146.5,0.397522,0.4087
1.09896,259.496,1147,0.397506,0.404413
1.09896,259.495,1147.97,0.397458,0.405912
1.09894,259.496,1151.65,0.398096,0.411597
1.09894,259.495,1151.67,0.397806,0.412912
1.09893,260.495,1148.03,0.398178,0.404271
1.09892,260.495,1149.97,0.398407,0.408079
1.09892,260.495,1149.72,0.398124,0.408079
1.09891,260.495,1145.82,0.398494,0.413032
1.09891,260.495,1145.05,0.390441,0.412555
1.09891,260.495,1146.5,0.390295,0.398732
1.0989,256,1144.42,0.38672,0.405596
1.0989,256,1144,0.386713,0.397786
1.0989,256,1145.5,0.385226,0.40012
1.09888,256,1143.53,0.385066,0.394054
1.09887,256,1142.47,0.384494,0.392088
1.09886,260.495,1146,0.377163,0.397636
1.09885,260.495,1146.75,0.377173,0.38416
1.09885,260.495,1150.47,0.377741,0.390055
1.09885,256,1151.45,0.377782,0.39156
1.09884,260.493,1150.97,0.375115,0.392066
1.09884,260.4,1151.7,0.374973,0.388099
1.09883,260.475,1151.5,0.374757,0.387323
1.09883,259.256,1151.45,0.374756,0.389638
1.09883,260,1153.72,0.374942,0.39152
1.09882,260.5,1157.5,0.375387,0.38514
1.09882,260.997,1157.67,0.375192,0.385153
1.09882,260.75,1160.72,0.361019,0.390216
1.09881,260.5,1163.53,0.3609,0.378641
1.09881,261.5,1163.5,0.360821,0.376037
1.0988,260.95,1161.47,0.360163,0.373891
1.0988,260.997,1160.92,0.360076,0.371583
1.09879,260.9,1160.5,0.357716,0.37095
1.09879,261.2,1161.5,0.357553,0.367149
1.09879,261.248,1161.53,0.357311,0.366754
1.09877,260.997,1162,0.356586,0.367619
1.09877,263.497,1161.92,0.356588,0.371869
1.09877,264.4,1161.72,0.356353,0.369449
1.09876,264.45,1160.5,0.3482,0.366888
1.09872,264.495,1171.38,0.350925,0.356531
1.09872,264,1171.95,0.350289,0.36407
1.09872,264.05,1170.95,0.350383,0.361042
1.09871,264.5,1174.1,0.349889,0.365357
1.09871,264.548,1174.72,0.349622,0.365292
1.09871,260.998,1169.8,0.350748,0.364954
1.09869,260.5,1168.5,0.34792,0.366232
1.09868,261,1165.5,0.338632,0.354522
1.09868,262,1165.72,0.33863,0.345703
1.09868,258,1164.5,0.338715,0.353054
1.09662,258,1164.5,0.338715,0.353054
1.09661,299.3,1162.25,0.338968,0.346204
1.09658,299.35,1161.5,0.339003,0.357053
1.09655,275.05,1189.28,0.285959,0.354743
1.09655,274.6,1191.35,0.280354,0.301897
1.09654,260,1193.3,0.280304,0.293347
1.09653,259.95,1196.3,0.280481,0.298798
1.09653,260,1200.07,0.280198,0.293742
1.09653,280.475,1194.03,0.281911,0.293194
1.09653,285.4,1189.42,0.283386,0.300589
1.09652,285.475,1195.7,0.284815,0.302509
1.09652,282.975,1198.05,0.284772,0.303523
1.09652,285.375,1199.05,0.284349,0.299433
1.09651,282.975,1201.5,0.284446,0.296729
1.09651,285.375,1200.65,0.283357,0.3017
1.09651,285.475,1198.97,0.283696,0.296256
1.09651,284.975,1198,0.283632,0.296369
1.0965,285.425,1195.5,0.284134,0.302749
1.0965,285.4,1193.42,0.284446,0.300069
1.09649,278.45,1191.45,0.284851,0.301853
1.09649,278.75,1193.08,0.276129,0.292718
1.09648,278.8,1193.75,0.260969,0.28872
1.09648,280.5,1195.65,0.260779,0.270341
1.09647,280.3,1195.03,0.260355,0.269287
1.09647,285.4,1192,0.261156,nan
1.09647,285.5,1194,0.261111,nan
1.09647,285.5,1195.83,0.260703,nan
1.09646,285.5,1195.33,0.260696,nan
1.09646,285.5,1194.25,0.258456,nan
1.09646,285.5,1193.9,0.258493,nan
1.09645,285.5,1196.78,0.24114,nan
1.09645,286,1194.67,0.241569,nan
1.09643,285.25,1194.35,0.241604,0.255217
1.09643,280.25,1193.75,0.231638,0.254131
1.09643,280.255,1193.5,0.2314,nan
1.09642,285.505,1193.8,0.229677,nan
1.09642,285.505,1194.2,0.229467,nan
1.09642,285.505,1194,0.225898,0.242804
1.09641,285.505,1193.75,0.225382,nan
1.09641,286,1193.58,0.225313,nan
1.09641,285.505,1192.5,0.2215,nan
1.0964,285.505,1186.03,0.224138,nan
1.0964,285.505,1188.05,0.221344,nan
1.09639,285.505,1185.75,0.221559,nan
1.09638,277.505,1185.25,0.213732,nan
1.09637,279.591,1187.5,0.21252,nan
1.09637,281.105,1186.03,0.209347,nan
1.09637,279.529,1187,0.208963,nan
1.09636,285.505,1186.28,0.202693,nan
1.09635,285.505,1189.8,0.202648,nan
1.09634,278.606,1185.2,0.204331,nan
1.09634,276.505,1184.1,0.204471,nan
1.09634,279.156,1187.75,0.205209,nan
1.09634,276.505,1182.75,0.207146,nan
1.09633,275.505,1183.75,0.207168,nan
1.09633,276.505,1187.75,0.207689,nan
1.09632,276.505,1183.8,0.208902,nan
1.09632,284.505,1183.08,0.208931,nan
1.09631,274.505,1181.78,0.208317,nan
1.09631,285.255,1183.45,0.206994,nan
1.0963,285.505,1181.03,0.207522,nan
1.09629,285.505,1175.78,0.206682,nan
1.09629,285.505,1175.78,0.206664,nan
1.09629,285.505,1173.28,0.206914,nan
1.09628,285.505,1173.72,0.206879,nan
1.09628,270.505,1174.15,0.20645,nan
1.09627,271,1179.5,0.208236,nan
1.09627,285.95,1184.47,0.209688,nan
1.09627,273.9,1183.03,0.209074,nan
1.09626,275.1,1185,0.209262,nan
1.09625,274.05,1183.03,0.208494,nan
1.09624,275,1185.95,0.208761,nan
1.09624,276,1185.5,0.208779,nan
1.09624,275.7,1184,0.207716,nan
1.09623,277.3,1183.5,0.207675,nan
1.09623,276.95,1183.5,0.207591,nan
1.09622,277.9,1185.38,0.207325,nan
1.09622,278,1185.55,0.207283,nan
1.09621,279.75,1187.5,0.207357,nan
1.09621,283.9,1187,0.207008,nan
1.0962,283.95,1186.5,0.206912,nan
1.09619,284.5,1187,0.206179,nan
1.09619,282.5,1186.97,0.206178,nan
1.09618,283.15,1187,0.205341,nan
1.09618,283.1,1184.75,0.205759,nan
1.09617,283.15,1184.25,0.20576,nan
1.09617,292.5,1183.92,0.205772,nan
1.09617,286,1182.5,0.205956,nan
1.09616,290,1182.42,0.205958,nan
1.09616,290,1182.33,0.205671,nan
1.09616,286.5,1182.28,0.204765,nan
1.09615,292.5,1181.97,0.204783,nan
1.09615,292.45,1181.45,0.20423,nan
1.09614,282.25,1179.85,0.203945,nan
1.09614,292,1178.5,0.204099,nan
1.09613,286,1178.6,0.20376,nan
1.09613,292.5,1178.75,0.203725,nan
1.09613,292.5,1178.72,0.203702,nan
1.09612,282.5,1179.5,0.203678,nan
1.09611,282.45,1182.5,0.204235,nan
1.09611,282.7,1183,0.204236,nan
1.0961,282.7,1182.75,0.204244,nan
1.0961,282.7,1183.28,0.204242,nan
1.09609,282.7,1182.5,0.204162,nan
1.09609,282.7,1181.5,0.195822,nan
1.09609,283,1182.47,0.195862,nan
1.09608,282,1181.5,0.195856,nan
1.09608,281,1181.47,0.195159,nan
1.09608,282.4,1179.55,0.195421,nan
1.09608,282.25,1180.38,0.193608,nan
1.09607,282.5,1179.82,0.193492,nan
1.09607,282.7,1177.53,0.193193,nan
1.09607,273.649,1176.5,0.193286,nan
1.09607,276.255,1175.15,0.193309,nan
1.09606,277.5,1174.1,0.193406,nan
1.09606,276.5,1172.25,0.193271,nan
1.09604,276.455,1170.22,0.193551,nan
1.09604,276.005,1169.03,0.123289,nan
1.09604,269.005,1168.53,0.122714,nan
1.09604,276.505,1168.47,0.122183,nan
1.09603,276.505,1167.35,0.121077,nan
1.09603,276.55,1164.03,0.120305,nan
1.09602,276.505,1161.55,0.117032,nan
1.09601,276.455,1161,0.114777,nan
1.09601,259.255,1162.5,0.109845,nan
1.09601,258.7,1163,0.109036,nan
1.096,258.5,1165,0.109529,nan
1.096,258.75,1166.03,0.108802,nan
1.09599,275.75,1167.53,0.109197,nan
1.09598,261,1169.5,0.109622,nan
1.09597,263.5,1175.42,0.114441,nan
1.09597,276,1176.58,0.114011,nan
1.09596,276.5,1177.5,0.113706,nan
1.09596,277.5,1176.45,0.113395,nan
1.09596,279.75,1176,0.113022,nan
1.09596,277.5,1173.65,0.113544,nan
1.09596,268.5,1174.6,0.113173,nan
1.09595,274.95,1173.72,0.11321,nan
1.09594,274.9,1172,0.112517,nan
1.09594,274.95,1172.5,0.111983,nan
1.09388,274.95,1172.5,0.111477,nan
1.09387,274.95,1172.5,0.111471,nan
1.09387,287.5,1196.5,0.169877,nan
1.09382,287.5,1186.97,0.177161,nan
1.09382,287.5,1189.5,0.177015,nan
1.09382,287.45,1188,0.176853,nan
1.09381,284.9,1197.2,0.183442,nan
1.09381,282.5,1196.95,0.183418,nan
1.0938,287.5,1200.5,0.184337,nan
1.09379,289.9,1201.97,0.184481,nan
1.09378,290,1199.5,0.184952,nan
1.09377,289.95,1198.03,0.185119,nan
1.09377,290,1199.67,0.185306,nan
1.09377,289.95,1198.95,0.185347,nan
1.09375,284.5,1191.25,0.189683,nan
1.09374,284.5,1190.62,0.186564,nan
1.09374,285,1192.12,0.186426,nan
1.09373,290,1192.25,0.186009,nan
1.09373,290,1187.33,0.187838,nan
1.09372,290,1187.72,0.187472,nan
1.09372,290,1185.47,0.187689,nan
1.09371,290,1182.25,0.188388,nan
1.09371,290,1183.25,0.188433,nan
1.09371,290,1181.58,0.187675,nan
1.0937,289.95,1181.65,0.186115,nan
1.0937,280,1180.95,0.186062,nan
1.0937,289.75,1182.5,0.18522,nan
1.09369,280.65,1183.03,0.183338,nan
1.09368,281.4,1185.6,0.183771,nan
1.09368,282.15,1187.45,0.182802,nan
1.09367,280,1184.28,0.182374,nan
1.09367,289.75,1186.22,0.182621,nan
1.09366,289.9,1185.5,0.182528,nan
1.09366,281.851,1185.22,0.182322,nan
1.09365,290,1186.3,0.181935,nan
1.09364,290,1183.5,0.180346,nan
1.09364,290,1182.5,0.180435,nan
1.09364,290,1178.72,0.181073,nan
1.09364,290,1175.22,0.182045,nan
1.09363,289.95,1176.5,0.182156,nan
1.09362,289.75,1175.28,0.179996,nan
1.09361,289.9,1171.25,0.179228,nan
1.09361,290,1172.1,0.179159,nan
1.09361,232.5,1168.53,0.179778,nan
1.09359,273.45,1181.92,0.193521,nan
1.09359,273.4,1181.45,0.192898,nan
1.09359,287.4,1180.6,0.192934,nan
1.09358,287.45,1184.72,0.194035,nan
1.09357,287,1183.35,0.194155,nan
1.09356,287.25,1178.75,0.195689,nan
1.09355,287.4,1185.72,0.19896,nan
1.09354,287.45,1186.92,0.199059,nan
1.09353,287.25,1186.45,0.198805,nan
1.09352,285,1185.8,0.198817,nan
1.09352,287.25,1187.05,0.198912,nan
1.09351,285,1187.5,0.198908,nan
1.09351,287.45,1187.25,0.198913,nan
1.0935,280,1187.5,0.198917,nan
1.09349,279,1186.03,0.19871,nan
1.09349,280,1186.47,0.198705,nan
1.09348,282.25,1192.15,0.200926,nan
1.09347,282,1188.5,0.201731,nan
1.09347,276.9,1192.2,0.202645,nan
1.09346,282.4,1196.25,0.203711,nan
1.09346,282,1195.95,0.203721,nan
1.09345,282.4,1198.25,0.204028,nan
1.09345,282,1194.75,0.204894,nan
1.09344,282.4,1191.55,0.205437,nan
1.09344,272.5,1192.25,0.205312,nan
1.09343,272.45,1192.22,0.205313,nan
1.09342,277.45,1189.9,0.205718,nan
1.09342,277,1191.22,0.205818,nan
1.09341,272.5,1193.25,0.206035,nan
1.0934,280,1193.42,0.205456,nan
1.09339,282.5,1191.65,0.20568,nan
1.09339,287,1192.5,0.205712,nan
1.09338,281.95,1193.75,0.205791,nan
1.09335,281.95,1194.75,0.205793,nan
1.09333,286.45,1202.25,0.209312,nan
1.09332,281.95,1206,0.210097,nan
1.09332,281.925,1202.5,0.210896,nan
1.09332,281.95,1202,0.210923,nan
1.09331,281.95,1203.15,0.210679,nan
1.09328,281.925,1195.35,0.214781,nan
1.09328,281.9,1194.45,0.21482,nan
1.09328,282.42,1192.55,0.214694,nan
1.09327,282.425,1195.2,0.215009,nan
1.09326,282.42,1192.03,0.215578,nan
1.09326,281.92,1188.5,0.216356,nan
1.09325,279.42,1190.55,0.216327,nan
1.09323,279.425,1191.95,0.2161,nan
1.09323,279.42,1192.95,0.216009,nan
1.09323,278.4,1193.95,0.216014,nan
1.09322,278.45,1193.22,0.216068,nan
1.09322,278.5,1192.53,0.216001,nan
1.09322,278.45,1194,0.215237,nan
1.09321,278.45,1193.5,0.214761,nan
1.0932,277,1197.5,0.215595,0.229933
1.09117,277,1197.5,0.215504,0.229933
1.09113,308.25,1199.75,0.215741,nan
1.09113,284.7,1200.03,0.215547,nan
1.09113,275,1198,0.215857,nan
1.09112,272.5,1195.97,0.216091,0.22743
1.09112,277.94,1193.67,0.216299,nan
1.09112,278.485,1195.8,0.214332,nan
1.09112,272.5,1195.1,0.214316,nan
1.09112,279.43,1196,0.214313,nan
1.09112,272.5,1192.5,0.215083,0.23033
1.09111,272.4,1184.5,0.219325,nan
1.09111,267.5,1184.28,0.218942,0.236453
1.09111,265,1180.55,0.219827,0.234773
1.09108,267.43,1184.25,0.220619,nan
1.09108,265,1186,0.220572,0.236012
1.09108,267.925,1184.75,0.220682,nan
1.09108,265,1181.3,0.221488,nan
1.09108,265.965,1181.53,0.221489,nan
1.09107,265,1182.5,0.180888,nan
1.09107,266.435,1180,0.174336,nan
1.09107,266.685,1182.25,0.174232,nan
1.09107,265,1184.75,0.17459,nan
1.09106,266.435,1181.72,0.168277,nan
1.09106,265,1177.97,0.169374,nan
1.09105,265.22,1177.53,0.168235,nan
1.09105,265,1176,0.168148,nan
1.09104,254,1167.05,0.174158,nan
1.09102,269.95,1172,0.176288,nan
1.09102,271.45,1170.5,0.176137,nan
1.09101,271,1168.25,0.176448,nan
1.09099,271.4,1173.2,0.174204,nan
1.09096,261.5,1158.5,0.191003,nan
1.09095,266.4,1160.5,0.191171,nan
1.09095,266.5,1155.53,0.192849,nan
1.09095,264.95,1157.95,0.19185,nan
1.09093,265,1157.5,0.191821,nan
1.09093,254.95,1158.7,0.191689,nan
1.09093,254.755,1158.47,0.191021,nan
1.09093,254,1160.22,0.191208,nan
1.09092,254.75,1158.7,0.191183,nan
1.09092,255.25,1158.1,0.191189,nan
1.09091,255.4,1156.5,0.191322,nan
1.09091,256.4,1158.47,0.191461,nan
1.09091,257.145,1163.25,0.193314,nan
1.09091,256.4,1163.25,0.192756,nan
1.0909,259.68,1168.7,0.194848,nan
1.0909,255,1164.12,0.195648,nan
1.09089,255.75,1159.5,0.196781,nan
1.09089,255,1162.25,0.197422,nan
1.09088,256.67,1161.28,0.197466,nan
1.09088,257.89,1162.75,0.197558,nan
1.09088,258.14,1163.25,0.197106,nan
1.09088,259.13,1167,0.198186,nan
1.09087,255.4,1165.8,0.19731,nan
1.09087,259.13,1165.58,0.196468,nan
1.09087,258.19,1164,0.196493,nan
1.09087,255.45,1162.5,0.196547,nan
1.09087,256.945,1162.72,0.195415,nan
1.09086,255.45,1163.45,0.195399,nan
1.09086,256.695,1162.45,0.194547,nan
1.09086,255.45,1161,0.180654,nan
1.09085,255.45,1163.4,0.181184,nan
1.09083,255.45,1168.22,0.183119,nan
1.09082,255,1170.72,0.182263,nan
1.09082,259.75,1171.47,0.182198,nan
1.09081,259.9,1172,0.180623,nan
1.0908,259.95,1171.92,0.176645,nan
1.09079,255.5,1170.75,0.176593,nan
1.09079,255,1168.5,0.176947,nan
1.09078,255,1167.03,0.177071,nan
1.09077,259.5,1165.8,0.177,nan
1.09077,250,1165.55,0.176967,nan
1.09077,244.9,1165.57,0.176971,nan
1.09076,244.95,1167.22,0.177233,nan
1.09075,245,1164.38,0.177688,nan
1.09073,245,1171,0.181401,nan
1.09071,244.5,1172.2,0.178893,nan
1.09071,245,1171.7,0.177945,nan
1.0907,245,1171.6,0.176763,nan
1.0907,245.05,1171,0.175343,nan
1.09069,245.1,1170.25,0.175366,nan
1.09068,245.1,1165,0.176915,nan
1.09064,245.1,1165.1,0.17611,nan
1.09062,245,1167.5,0.17599,nan
1.09061,247.45,1166.28,0.176006,nan
1.09061,247.45,1167.3,0.176132,nan
1.09058,247.25,1167.5,0.175789,nan
1.09057,249.5,1163.55,0.176756,nan
1.09056,250,1167.5,0.177797,nan
1.09054,250.05,1172.5,0.179984,nan
1.09052,250.05,1172.5,0.179788,nan
1.09052,250.5,1172.33,0.179707,nan
1.09052,250.45,1174.42,0.179964,nan
1.09052,250.5,1175.45,0.179971,nan
1.09052,250.45,1175.5,0.175349,nan
1.09051,250.5,1173.47,0.174343,nan
1.09049,251,1165.53,0.178378,nan
1.09047,248.5,1167.5,0.178802,nan
1.09047,247.5,1167.6,0.178651,nan
1.08296,247.5,1167.6,0.174225,nan
1.08289,260.45,1171,0.175281,nan
1.08289,260,1170.5,0.175059,nan
1.08288,260.25,1171,0.174449,nan
1.08288,260,1171.95,0.173846,nan
1.08287,260.05,1168,0.174132,nan
1.08287,260.5,1167.03,0.173776,nan
1.08287,260.55,1167.5,0.173606,nan
1.08286,260.8,1169,0.173732,nan
1.08285,260.3,1164.5,0.175136,nan
1.08285,249.95,1164.45,0.175122,nan
1.08284,249.9,1170.5,0.178352,nan
1.08283,249.95,1175,0.179905,nan
1.08282,249.05,1182.25,0.184182,nan
1.08282,250,1185.47,0.183762,nan
1.0828,249.95,1192.7,0.187796,nan
1.0828,250,1191.5,0.187501,nan
1.08279,240,1186.75,0.18911,nan
1.08278,245.4,1187.6,0.188908,nan
1.08276,247.584,1185.1,0.189068,nan
1.08276,247.601,1185,0.188706,nan
1.08276,250,1182.4,0.188813,nan
1.08276,259.75,1184,0.189006,nan
1.08276,255,1184.5,0.18896,nan
1.08275,252.5,1182.53,0.188369,nan
1.08274,246,1183.25,0.183628,nan
1.08272,241,1183.65,0.183637,0.195358
1.08271,241,1183.67,0.182552,0.195428
1.08271,241,1183.47,0.181491,0.192891
1.08271,243.5,1183.82,0.181259,nan
1.0827,243.5,1186.45,0.181676,nan
1.0827,275.04,1187.4,0.180789,nan
1.0827,250.183,1185.5,0.181082,nan
1.08269,250,1185.15,0.181023,nan
1.08269,250,1185,0.180519,nan
1.08268,250,1183.25,0.180376,nan
1.08268,250,1182.65,0.17991,nan
1.08267,254.999,1181.53,0.179289,nan
1.08267,255,1181.03,0.178178,nan
1.08267,254.5,1181.65,0.178188,nan
1.08267,254,1181.4,0.177996,nan
1.08266,254.95,1182.3,0.171266,nan
1.08266,254.95,1184.5,0.169636,nan
1.08266,254.976,1185.45,0.169469,nan
1.08265,254.995,1182.15,0.169967,nan
1.08264,245,1182.53,0.167954,nan
1.08264,244.95,1182.25,0.147522,nan
1.08264,248,1182.5,0.147197,nan
1.08264,250,1181.5,0.144608,nan
1.08262,250,1183.75,0.144512,nan
1.08262,250,1183.1,0.144541,nan
1.0826,249.95,1183.5,0.144445,nan
1.0826,249.95,1184.08,0.144437,nan
1.08259,249.95,1181.65,0.144875,nan
1.08259,250,1182.5,0.144613,nan
1.08256,245,1178.22,0.146509,nan
1.08256,245,1177.97,0.146206,nan
1.08256,244,1177.5,0.145919,nan
1.08255,244.95,1177.47,0.143736,nan
1.08255,245,1177.5,0.143736,nan
1.08255,245,1176.75,0.140862,nan
1.08255,245,1177.75,0.138664,nan
1.08254,245,1176.25,0.136519,nan
1.08254,247.5,1175.75,0.135818,nan
1.08252,247.5,1173.5,0.136282,nan
1.0825,247.45,1175.25,0.136365,nan
1.08249,247.5,1179.25,0.137921,nan
1.08249,250,1179.6,0.136522,nan
1.08249,249.95,1177.9,0.136682,nan
1.08248,250,1174,0.138338,nan
1.08248,250,1175,0.138133,nan
1.08243,247.5,1177.12,0.138278,nan
1.08242,247.5,1179.75,0.138915,nan
1.08241,247.5,1178,0.139246,nan
1.0824,247.45,1183.15,0.141642,nan
1.0824,247.5,1182.38,0.141457,nan
1.0824,247.501,1183.88,0.141118,nan
1.08239,247.5,1180.5,0.14009,nan
1.08239,247.5,1178.8,0.139813,nan
1.08239,252.5,1180.1,0.139919,nan
1.08238,252.5,1181,0.139967,nan
1.08236,252.45,1180.75,0.139976,nan
1.08235,257.5,1182.5,0.14009,nan
1.08235,257.499,1183.25,0.139549,nan
1.08234,257.5,1182.25,0.13941,nan
1.08232,257.499,1183.5,0.139338,nan
1.08232,257.5,1181.75,0.139689,nan
1.0823,257.5,1183.5,0.139948,nan
1.08229,257.5,1183.03,0.139751,nan
1.08228,257.45,1183.45,0.138812,nan
1.08227,257.5,1186.47,0.135201,nan
1.08022,257.5,1186.47,0.13508,nan
1.08019,257.5,1186.47,0.135039,nan
1.08018,257.5,1186.47,0.135035,nan
1.08018,257.5,1186.47,0.13498,nan
1.08017,257.5,1186.47,0.134897,nan
1.08017,266.5,1175.25,0.145009,nan
1.08017,281.5,1174.75,0.145043,nan
1.08016,247.275,1170.65,0.146207,nan
1.08016,300,1173.25,0.146692,nan
1.08016,249.2,1173.5,0.146603,nan
1.08016,245.005,1171.5,0.147013,nan
1.08015,248.696,1171.5,0.145408,nan
1.08015,248.695,1174.5,0.144743,nan
1.08015,249.005,1174.5,0.142251,nan
1.08015,248.993,1175,0.142274,nan
1.08014,248.462,1175.03,0.14227,nan
1.08014,247.584,1175.28,0.141834,nan
1.08014,245.005,1175.25,0.141728,nan
1.08014,248,1174.25,0.141828,nan
1.08013,247.871,1173,0.141571,nan
1.08013,247.505,1170.25,0.13571,nan
1.08013,247.5,1169.5,0.135367,nan
1.08012,242,1167.75,0.135699,nan
1.08012,241,1166.75,0.135806,nan
1.08012,245.8,1168,0.134723,nan
1.08011,242,1165.53,0.135344,nan
1.08011,245.252,1165.5,0.135312,nan
1.08011,245.082,1164.25,0.135357,nan
1.08011,245,1165.5,0.133893,nan
1.08011,244.22,1165.58,0.133794,nan
1.0801,249,1164.03,0.134023,nan
1.0801,244.399,1165.03,0.133884,nan
1.0801,240,1165.12,0.131672,nan
1.08009,243.774,1165.25,0.131673,nan
1.08009,247.5,1167.65,0.128202,nan
